x,y,z,freq,value
48.393,132.528,0.2,3000072070.0,-77.6786956787
49.769,134.034,0.2,2999924170.0,-79.4945297241
50.671,135.54,0.2,2999970770.0,-77.7591247559
51.112,137.046,0.2,3000040230.0,-77.2684555054
51.207,138.552,0.2,2999937770.0,-75.5321655273
50.999,140.058,0.2,3000083360.0,-76.8606262207
50.44,141.564,0.2,2999983790.0,-76.6811904907
49.423,143.07,0.2,3000030390.0,-79.9391174316
49.423,143.07,0.2,2999909700.0,-78.3014602661
47.992,144.576,0.2,3000065120.0,-78.2658462524
46.616,146.082,0.2,3000095220.0,-81.7275543213
45.714,147.588,0.2,2999993920.0,-81.0659103394
45.273,149.094,0.2,3000083650.0,-78.4368591309
45.178,150.6,0.2,3000050360.0,-77.920211792
45.386,152.106,0.2,2999963530.0,-78.4746932983
45.945,153.612,0.2,2999958030.0,-77.9902954102
46.962,155.118,0.2,3000045440.0,-77.4027023315
48.393,156.624,0.2,3000013600.0,-78.526222229
49.769,158.13,0.2,3000024600.0,-78.3162689209
50.671,159.636,0.2,2999934590.0,-79.3526153564
51.112,161.142,0.2,3000087410.0,-77.6746520996
51.207,162.648,0.2,2999907670.0,-76.1449813843
50.999,164.154,0.2,3000033290.0,-77.9019012451
50.44,165.66,0.2,3000000000.0,-78.9079284668
49.423,167.166,0.2,2999974530.0,-74.7284927368
47.992,168.672,0.2,3000057020.0,-78.9886245728
46.616,170.178,0.2,2999915200.0,-78.3618164063
45.714,171.684,0.2,2999902170.0,-74.0787734985
45.273,173.19,0.2,2999902170.0,-78.4810638428
45.178,174.696,0.2,2999960060.0,-81.1830596924
45.386,176.202,0.2,3000018520.0,-79.3166351318
45.945,177.708,0.2,3000087120.0,-80.2567977905
46.962,179.214,0.2,2999911140.0,-78.3371429443
48.393,180.72,0.2,2999956010.0,-80.4905014038
49.769,182.226,0.2,3000083650.0,-77.0671691895
50.671,183.732,0.2,3000077280.0,-75.736579895
51.112,185.238,0.2,2999959770.0,-78.0218276978
51.207,186.744,0.2,2999900140.0,-77.9512557983
50.999,188.25,0.2,2999903620.0,-78.5446929932
50.44,189.756,0.2,3000089440.0,-77.429107666
49.423,191.262,0.2,3000056730.0,-81.857711792
47.992,192.768,0.2,2999921850.0,-79.7167892456
46.616,194.274,0.2,2999923880.0,-79.8458404541
45.714,195.78,0.2,2999938060.0,-79.2489013672
45.273,197.286,0.2,3000087700.0,-79.7736358643
45.178,198.792,0.2,2999972790.0,-78.3107452393
45.386,200.298,0.2,2999916060.0,-77.7777862549
